CommonName,Species,Genus,Family,Order,Subclass
Cape Porcupine,Hystrix_africaeaustralis,Hystrix,Hystricidae,Rodentia,Theria
Malayan Porcupine,Hystrix_brachyura,Hystrix,Hystricidae,Rodentia,Theria
Thick-spined Porcupine,Hystrix_crassispinis,Hystrix,Hystricidae,Rodentia,Theria
Crested Porcupine,Hystrix_cristata,Hystrix,Hystricidae,Rodentia,Theria
Indian Crested Porcupine,Hystrix_indica,Hystrix,Hystricidae,Rodentia,Theria
Sunda Porcupine,Hystrix_javanica,Hystrix,Hystricidae,Rodentia,Theria
Philippine Porcupine,Hystrix_pumila,Hystrix,Hystricidae,Rodentia,Theria
Sumatran Porcupine,Hystrix_sumatrae,Hystrix,Hystricidae,Rodentia,Theria
Asian Long-tailed Porcupine,Trichys_fasciculata,Trichys,Hystricidae,Rodentia,Theria
Noki,Petromus_typicus,Petromus,Petromuridae,Rodentia,Theria
Lesser Cane Rat,Thryonomys_gregorianus,Thryonomys,Thryonomyidae,Rodentia,Theria
Greater Cane Rat,Thryonomys_swinderianus,Thryonomys,Thryonomyidae,Rodentia,Theria
Bennett's Chinchilla Rat,Abrocoma_bennettii,Abrocoma,Abrocomidae,Rodentia,Theria
Bolivian Chinchilla Rat,Abrocoma_boliviensis,Abrocoma,Abrocomidae,Rodentia,Theria
Budin's Chinchilla Rat,Abrocoma_budini,Abrocoma,Abrocomidae,Rodentia,Theria
Ashy Chinchilla Rat,Abrocoma_cinerea,Abrocoma,Abrocomidae,Rodentia,Theria
Sierra del Tontal Chinchilla Rat,Abrocoma_schistacea,Abrocoma,Abrocomidae,Rodentia,Theria
Mendozan Chinchilla Rat,Abrocoma_vaccarum,Abrocoma,Abrocomidae,Rodentia,Theria
Ashaninka Inca Rat,Cuscomys_ashaninka,Cuscomys,Abrocomidae,Rodentia,Theria
Machu Picchu Inca Rat,Cuscomys_oblativus,Cuscomys,Abrocomidae,Rodentia,Theria
Anderson's Tuco-tuco,Ctenomys_andersoni,Ctenomys,Ctenomyidae,Rodentia,Theria
Argentine Tuco-tuco,Ctenomys_argentinus,Ctenomys,Ctenomyidae,Rodentia,Theria
Dune Tuco-tuco,Ctenomys_australis,Ctenomys,Ctenomyidae,Rodentia,Theria
Córdoba Tuco-tuco,Ctenomys_bergi,Ctenomys,Ctenomyidae,Rodentia,Theria
Bicolored Tuco-tuco,Ctenomys_bicolor,Ctenomys,Ctenomyidae,Rodentia,Theria
Bidau's Tuco-tuco,Ctenomys_bidaui,Ctenomys,Ctenomyidae,Rodentia,Theria
Bolivian Tuco-tuco,Ctenomys_boliviensis,Ctenomys,Ctenomyidae,Rodentia,Theria
Bonetto's Tuco-tuco,Ctenomys_bonettoi,Ctenomys,Ctenomyidae,Rodentia,Theria
Brazilian Tuco-tuco,Ctenomys_brasiliensis,Ctenomys,Ctenomyidae,Rodentia,Theria
Chechehet's Tuco-tuco,Ctenomys_chechehet,Ctenomys,Ctenomyidae,Rodentia,Theria
Puntilla Tuco-tuco,Ctenomys_coludo,Ctenomys,Ctenomyidae,Rodentia,Theria
Chacoan Tuco-tuco,Ctenomys_conoveri,Ctenomys,Ctenomyidae,Rodentia,Theria
Contreras's Tuco-tuco,Ctenomys_contrerasi,Ctenomys,Ctenomyidae,Rodentia,Theria
D'Orbigny's Tuco-tuco,Ctenomys_dorbignyi,Ctenomys,Ctenomyidae,Rodentia,Theria
Black-backed Tuco-tuco,Ctenomys_dorsalis,Ctenomys,Ctenomyidae,Rodentia,Theria
Eileen's Tuco-tuco,Ctenomys_eileenae,Ctenomys,Ctenomyidae,Rodentia,Theria
Emilio's Tuco-tuco,Ctenomys_emilianus,Ctenomys,Ctenomyidae,Rodentia,Theria
Erika's Tuco-tuco,Ctenomys_erikacuellarae,Ctenomys,Ctenomyidae,Rodentia,Theria
Flamarion's Tuco-tuco,Ctenomys_flamarioni,Ctenomys,Ctenomyidae,Rodentia,Theria
Foch's Tuco-tuco,Ctenomys_fochi,Ctenomys,Ctenomyidae,Rodentia,Theria
Lago Blanco Tuco-tuco,Ctenomys_fodax,Ctenomys,Ctenomyidae,Rodentia,Theria
Forest Tuco-tuco,Ctenomys_frater,Ctenomys,Ctenomyidae,Rodentia,Theria
Long-tailed Tuco-tuco,Ctenomys_fulvus,Ctenomys,Ctenomyidae,Rodentia,Theria
Patagonian Tuco-tuco,Ctenomys_haigi,Ctenomys,Ctenomyidae,Rodentia,Theria
Henia-Camiare Tuco-tuco,Ctenomys_heniacamiare,Ctenomys,Ctenomyidae,Rodentia,Theria
Ibicui Tuco-tuco,Ctenomys_ibicuiensis,Ctenomys,Ctenomyidae,Rodentia,Theria
San Juan Tuco-tuco,Ctenomys_johannis,Ctenomys,Ctenomyidae,Rodentia,Theria
Jujuy Tuco-tuco,Ctenomys_juris,Ctenomys,Ctenomyidae,Rodentia,Theria
Catamarca Tuco-tuco,Ctenomys_knighti,Ctenomys,Ctenomyidae,Rodentia,Theria
Lami Tuco-tuco,Ctenomys_lami,Ctenomys,Ctenomyidae,Rodentia,Theria
Mottled Tuco-tuco,Ctenomys_latro,Ctenomys,Ctenomyidae,Rodentia,Theria
Lessa's Tuco-tuco,Ctenomys_lessai,Ctenomys,Ctenomyidae,Rodentia,Theria
White-toothed Tuco-tuco,Ctenomys_leucodon,Ctenomys,Ctenomyidae,Rodentia,Theria
Lewis's Tuco-tuco,Ctenomys_lewisi,Ctenomys,Ctenomyidae,Rodentia,Theria
Magellanic Tuco-tuco,Ctenomys_magellanicus,Ctenomys,Ctenomyidae,Rodentia,Theria
Maule Tuco-tuco,Ctenomys_maulinus,Ctenomys,Ctenomyidae,Rodentia,Theria
Mendoza Tuco-tuco,Ctenomys_mendocinus,Ctenomys,Ctenomyidae,Rodentia,Theria
Miguel Christie's Tuco-tuco,Ctenomys_miguelchristie,Ctenomys,Ctenomyidae,Rodentia,Theria
Minute Tuco-tuco,Ctenomys_minutus,Ctenomys,Ctenomyidae,Rodentia,Theria
Natterer's Tuco-tuco,Ctenomys_nattereri,Ctenomys,Ctenomyidae,Rodentia,Theria
Furtive Tuco-tuco,Ctenomys_occultus,Ctenomys,Ctenomyidae,Rodentia,Theria
Andean Tuco-tuco,Ctenomys_opimus,Ctenomys,Ctenomyidae,Rodentia,Theria
Osvaldo Reig's Tuco-tuco,Ctenomys_osvaldoreigi,Ctenomys,Ctenomyidae,Rodentia,Theria
Paraguayan Tuco-tuco,Ctenomys_paraguayensis,Ctenomys,Ctenomyidae,Rodentia,Theria
Pearson's Tuco-tuco,Ctenomys_pearsoni,Ctenomys,Ctenomyidae,Rodentia,Theria
Perrens's Tuco-tuco,Ctenomys_perrensi,Ctenomys,Ctenomyidae,Rodentia,Theria
Peruvian Tuco-tuco,Ctenomys_peruanus,Ctenomys,Ctenomyidae,Rodentia,Theria
Pilar Tuco-tuco,Ctenomys_pilarensis,Ctenomys,Ctenomyidae,Rodentia,Theria
Plebiscite Tuco-tuco,Ctenomys_plebiscitum,Ctenomys,Ctenomyidae,Rodentia,Theria
Brown Tuco-tuco,Ctenomys_pontifex,Ctenomys,Ctenomyidae,Rodentia,Theria
Monte Hermoso Tuco-tuco,Ctenomys_pulcer,Ctenomys,Ctenomyidae,Rodentia,Theria
Rio Negro Tuco-tuco,Ctenomys_rionegrensis,Ctenomys,Ctenomyidae,Rodentia,Theria
Roig's Tuco-tuco,Ctenomys_roigi,Ctenomys,Ctenomyidae,Rodentia,Theria
Rondon's Tuco-tuco,Ctenomys_rondoni,Ctenomys,Ctenomyidae,Rodentia,Theria
Salta Tuco-tuco,Ctenomys_saltarius,Ctenomys,Ctenomyidae,Rodentia,Theria
Scaglia's Tuco-tuco,Ctenomys_scagliai,Ctenomys,Ctenomyidae,Rodentia,Theria
Silky Tuco-tuco,Ctenomys_sericeus,Ctenomys,Ctenomyidae,Rodentia,Theria
Colonial Tuco-tuco,Ctenomys_sociabilis,Ctenomys,Ctenomyidae,Rodentia,Theria
Steinbach's Tuco-tuco,Ctenomys_steinbachi,Ctenomys,Ctenomyidae,Rodentia,Theria
Talas Tuco-tuco,Ctenomys_talarum,Ctenomys,Ctenomyidae,Rodentia,Theria
Laguna Terraplén Tuco-tuco,Ctenomys_terraplen,Ctenomys,Ctenomyidae,Rodentia,Theria
Thales's Tuco-tuco,Ctenomys_thalesi,Ctenomys,Ctenomyidae,Rodentia,Theria
Collared Tuco-tuco,Ctenomys_torquatus,Ctenomys,Ctenomyidae,Rodentia,Theria
Robust Tuco-tuco,Ctenomys_tuconax,Ctenomys,Ctenomyidae,Rodentia,Theria
Tucuman Tuco-tuco,Ctenomys_tucumanus,Ctenomys,Ctenomyidae,Rodentia,Theria
Sierra Tontal Tuco-tuco,Ctenomys_tulduco,Ctenomys,Ctenomyidae,Rodentia,Theria
Uco Tuco-tuco,Ctenomys_uco,Ctenomys,Ctenomyidae,Rodentia,Theria
Verzi's Tuco-tuco,Ctenomys_verzi,Ctenomys,Ctenomyidae,Rodentia,Theria
Monte Tuco-tuco,Ctenomys_viperinus,Ctenomys,Ctenomyidae,Rodentia,Theria
Yates's Tuco-tuco,Ctenomys_yatesi,Ctenomys,Ctenomyidae,Rodentia,Theria
Garrido's Hutia,Capromys_garridoi,Capromys,Echimyidae,Rodentia,Theria
Geay's Hutia,Capromys_geayi,Capromys,Echimyidae,Rodentia,Theria
Desmarest's Hutia,Capromys_pilorides,Capromys,Echimyidae,Rodentia,Theria
Jamaican Hutia,Geocapromys_brownii,Geocapromys,Echimyidae,Rodentia,Theria
Cayman Hutia,Geocapromys_caymanensis,Geocapromys,Echimyidae,Rodentia,Theria
Cuban Hutia,Geocapromys_columbianus,Geocapromys,Echimyidae,Rodentia,Theria
Ingraham's Hutia,Geocapromys_ingrahami,Geocapromys,Echimyidae,Rodentia,Theria
Little Swan Island Hutia,Geocapromys_thoracatus,Geocapromys,Echimyidae,Rodentia,Theria
Cabrera's Hutia,Mesocapromys_angelcabrerai,Mesocapromys,Echimyidae,Rodentia,Theria
Eared Hutia,Mesocapromys_auritus,Mesocapromys,Echimyidae,Rodentia,Theria
Black-tailed Hutia,Mesocapromys_melanurus,Mesocapromys,Echimyidae,Rodentia,Theria
Dwarf Hutia,Mesocapromys_nana,Mesocapromys,Echimyidae,Rodentia,Theria
San Felipe Hutia,Mesocapromys_sanfelipensis,Mesocapromys,Echimyidae,Rodentia,Theria
Prehensile-tailed Hutia,Mysateles_prehensilis,Mysateles,Echimyidae,Rodentia,Theria
Imposter Hutia,Hexolobodon_phenax,Hexolobodon,Echimyidae,Rodentia,Theria
Montane Hutia,Isolobodon_montanus,Isolobodon,Echimyidae,Rodentia,Theria
Puerto Rican Hutia,Isolobodon_portoricensis,Isolobodon,Echimyidae,Rodentia,Theria
Wide-toothed Hutia,Hyperplagiodontia_araeum,Hyperplagiodontia,Echimyidae,Rodentia,Theria
Hispaniolan Hutia,Plagiodontia_aedium,Plagiodontia,Echimyidae,Rodentia,Theria
Samana Hutia,Plagiodontia_ipnaeum,Plagiodontia,Echimyidae,Rodentia,Theria
Small Haitian Hutia,Plagiodontia_spelaeum,Plagiodontia,Echimyidae,Rodentia,Theria
Lemke's Hutia,Rhizoplagiodontia_lemkei,Rhizoplagiodontia,Echimyidae,Rodentia,Theria
Groove-toothed Spiny-rat,Carterodon_sulcidens,Carterodon,Echimyidae,Rodentia,Theria
Bolivian Bamboo Rat,Dactylomys_boliviensis,Dactylomys,Echimyidae,Rodentia,Theria
Amazon Bamboo Rat,Dactylomys_dactylinus,Dactylomys,Echimyidae,Rodentia,Theria
Montane Bamboo Rat,Dactylomys_peruanus,Dactylomys,Echimyidae,Rodentia,Theria
Colombian Rufous Tree-rat,Diplomys_caniceps,Diplomys,Echimyidae,Rodentia,Theria
Central American Rufous Tree-rat,Diplomys_labilis,Diplomys,Echimyidae,Rodentia,Theria
White-faced Tree-rat,Echimys_chrysurus,Echimys,Echimyidae,Rodentia,Theria
Dark Tree-rat,Echimys_saturnus,Echimys,Echimyidae,Rodentia,Theria
Vieira's Tree-rat,Echimys_vieirai,Echimys,Echimyidae,Rodentia,Theria
Barbara Brown's Brush-tailed Rat,Isothrix_barbarabrownae,Isothrix,Echimyidae,Rodentia,Theria
Yellow-crowned Brush-tailed Rat,Isothrix_bistriata,Isothrix,Echimyidae,Rodentia,Theria
Rio Negro Brush-tailed Rat,Isothrix_negrensis,Isothrix,Echimyidae,Rodentia,Theria
Orinoco Brush-tailed Rat,Isothrix_orinoci,Isothrix,Echimyidae,Rodentia,Theria
Plain Brush-tailed Rat,Isothrix_pagurus,Isothrix,Echimyidae,Rodentia,Theria
Sinnamary Brush-tailed Rat,Isothrix_sinnamariensis,Isothrix,Echimyidae,Rodentia,Theria
Atlantic Bamboo Rat,Kannabateomys_amblyonyx,Kannabateomys,Echimyidae,Rodentia,Theria
Bare-tailed Tree-rat,Leiuromys_occasius,Leiuromys,Echimyidae,Rodentia,Theria
Tuft-tailed Spiny Tree-rat,Lonchothrix_emiliae,Lonchothrix,Echimyidae,Rodentia,Theria
Red-nosed Armored Tree-rat,Makalata_didelphoides,Makalata,Echimyidae,Rodentia,Theria
Long-tailed Armored Tree-rat,Makalata_macrura,Makalata,Echimyidae,Rodentia,Theria
Ferreira's Spiny Tree-rat,Mesomys_hispidus,Mesomys,Echimyidae,Rodentia,Theria
Long-haired Spiny Tree-rat,Mesomys_leniceps,Mesomys,Echimyidae,Rodentia,Theria
Hidden Spiny Tree-rat,Mesomys_occultus,Mesomys,Echimyidae,Rodentia,Theria
Para Spiny Tree-rat,Mesomys_stimulax,Mesomys,Echimyidae,Rodentia,Theria
White-tailed Olalla Rat,Olallamys_albicauda,Olallamys,Echimyidae,Rodentia,Theria
Greedy Olalla Rat,Olallamys_edax,Olallamys,Echimyidae,Rodentia,Theria
Carriker's Speckled Tree-rat,Pattonomys_carrikeri,Pattonomys,Echimyidae,Rodentia,Theria
Yellow Speckled Tree-rat,Pattonomys_flavidus,Pattonomys,Echimyidae,Rodentia,Theria
Orinocan Speckled Tree-rat,Pattonomys_punctatus,Pattonomys,Echimyidae,Rodentia,Theria
Colombian Speckled Tree-rat,Pattonomys_semivillosus,Pattonomys,Echimyidae,Rodentia,Theria
Golden Atlantic Tree-rat,Phyllomys_blainvilii,Phyllomys,Echimyidae,Rodentia,Theria
Brazilian Atlantic Tree-rat,Phyllomys_brasiliensis,Phyllomys,Echimyidae,Rodentia,Theria
Central Atlantic Tree-rat,Phyllomys_centralis,Phyllomys,Echimyidae,Rodentia,Theria
Drab Atlantic Tree-rat,Phyllomys_dasythrix,Phyllomys,Echimyidae,Rodentia,Theria
Kerr's Atlantic Tree-rat,Phyllomys_kerri,Phyllomys,Echimyidae,Rodentia,Theria
Pallid Atlantic Tree-rat,Phyllomys_lamarum,Phyllomys,Echimyidae,Rodentia,Theria
Lund's Atlantic Tree-rat,Phyllomys_lundi,Phyllomys,Echimyidae,Rodentia,Theria
Serra da Mantiqueira Atlantic Tree-rat,Phyllomys_mantiqueirensis,Phyllomys,Echimyidae,Rodentia,Theria
Long-furred Atlantic Tree-rat,Phyllomys_medius,Phyllomys,Echimyidae,Rodentia,Theria
Black-spined Atlantic Tree-rat,Phyllomys_nigrispinus,Phyllomys,Echimyidae,Rodentia,Theria
Patton's Atlantic Tree-rat,Phyllomys_pattoni,Phyllomys,Echimyidae,Rodentia,Theria
Southern Atlantic Tree-rat,Phyllomys_sulinus,Phyllomys,Echimyidae,Rodentia,Theria
Giant Atlantic Tree-rat,Phyllomys_thomasi,Phyllomys,Echimyidae,Rodentia,Theria
Unicolored Tree-rat,Phyllomys_unicolor,Phyllomys,Echimyidae,Rodentia,Theria
Red Crested Tree-rat,Santamartamys_rufodorsalis,Santamartamys,Echimyidae,Rodentia,Theria
White-bellied Toro,Toromys_albiventris,Toromys,Echimyidae,Rodentia,Theria
Black Toro,Toromys_grandis,Toromys,Echimyidae,Rodentia,Theria
Peruvian Toro,Toromys_rhipidurus,Toromys,Echimyidae,Rodentia,Theria
Painted Tree-rat,Callistomys_pictus,Callistomys,Echimyidae,Rodentia,Theria
Armored Rat,Hoplomys_gymnurus,Hoplomys,Echimyidae,Rodentia,Theria
Coypu,Myocastor_coypus,Myocastor,Echimyidae,Rodentia,Theria
Short-tailed Spiny-rat,Proechimys_brevicauda,Proechimys,Echimyidae,Rodentia,Theria
Colombian Spiny-rat,Proechimys_canicollis,Proechimys,Echimyidae,Rodentia,Theria
Boyaca Spiny-rat,Proechimys_chrysaeolus,Proechimys,Echimyidae,Rodentia,Theria
Cuvier's Spiny-rat,Proechimys_cuvieri,Proechimys,Echimyidae,Rodentia,Theria
Pacific Spiny-rat,Proechimys_decumanus,Proechimys,Echimyidae,Rodentia,Theria
Stiff-spined Spiny-rat,Proechimys_echinothrix,Proechimys,Echimyidae,Rodentia,Theria
Gardner's Spiny-rat,Proechimys_gardneri,Proechimys,Echimyidae,Rodentia,Theria
Goeldi's Spiny-rat,Proechimys_goeldii,Proechimys,Echimyidae,Rodentia,Theria
Guaira Spiny-rat,Proechimys_guairae,Proechimys,Echimyidae,Rodentia,Theria
Cayenne Spiny-rat,Proechimys_guyannensis,Proechimys,Echimyidae,Rodentia,Theria
Guianan Spiny-rat,Proechimys_hoplomyoides,Proechimys,Echimyidae,Rodentia,Theria
Kulina Spiny-rat,Proechimys_kulinae,Proechimys,Echimyidae,Rodentia,Theria
Long-tailed Spiny-rat,Proechimys_longicaudatus,Proechimys,Echimyidae,Rodentia,Theria
Minca Spiny-rat,Proechimys_mincae,Proechimys,Echimyidae,Rodentia,Theria
O'Connell's Spiny-rat,Proechimys_oconnelli,Proechimys,Echimyidae,Rodentia,Theria
Patton's Spiny-rat,Proechimys_pattoni,Proechimys,Echimyidae,Rodentia,Theria
Napo Spiny-rat,Proechimys_quadruplicatus,Proechimys,Echimyidae,Rodentia,Theria
Robert's Spiny-rat,Proechimys_roberti,Proechimys,Echimyidae,Rodentia,Theria
Tomes's Spiny-rat,Proechimys_semispinosus,Proechimys,Echimyidae,Rodentia,Theria
Simons's Spiny-rat,Proechimys_simonsi,Proechimys,Echimyidae,Rodentia,Theria
Steere's Spiny-rat,Proechimys_steerei,Proechimys,Echimyidae,Rodentia,Theria
Trinidad Spiny-rat,Proechimys_trinitatis,Proechimys,Echimyidae,Rodentia,Theria
Lagoa Santa Punare,Thrichomys_apereoides,Thrichomys,Echimyidae,Rodentia,Theria
Foster's Punare,Thrichomys_fosteri,Thrichomys,Echimyidae,Rodentia,Theria
Jacobina Punare,Thrichomys_inermis,Thrichomys,Echimyidae,Rodentia,Theria
Sao Lourenço Punare,Thrichomys_laurentius,Thrichomys,Echimyidae,Rodentia,Theria
Pantanal Punare,Thrichomys_pachyurus,Thrichomys,Echimyidae,Rodentia,Theria
Broad-headed Spiny-rat,Clyomys_laticeps,Clyomys,Echimyidae,Rodentia,Theria
Guiara,Euryzygomatomys_spinosus,Euryzygomatomys,Echimyidae,Rodentia,Theria
White-spined Spiny-rat,Trinomys_albispinus,Trinomys,Echimyidae,Rodentia,Theria
Rio de Janeiro Spiny-rat,Trinomys_dimidiatus,Trinomys,Echimyidae,Rodentia,Theria
Elias's Spiny-rat,Trinomys_eliasi,Trinomys,Echimyidae,Rodentia,Theria
Gracile Atlantic Spiny-rat,Trinomys_gratiosus,Trinomys,Echimyidae,Rodentia,Theria
Sao Paulo Spiny-rat,Trinomys_iheringi,Trinomys,Echimyidae,Rodentia,Theria
Pau Brasil Spiny-rat,Trinomys_mirapitanga,Trinomys,Echimyidae,Rodentia,Theria
Moojen's Spiny-rat,Trinomys_moojeni,Trinomys,Echimyidae,Rodentia,Theria
Rigid-spined Atlantic Spiny-rat,Trinomys_paratus,Trinomys,Echimyidae,Rodentia,Theria
Elegant-spined Atlantic Spiny-rat,Trinomys_setosus,Trinomys,Echimyidae,Rodentia,Theria
Yonenaga's Spiny-rat,Trinomys_yonenagae,Trinomys,Echimyidae,Rodentia,Theria
Oriente Cave Rat,Boromys_offella,Boromys,Echimyidae,Rodentia,Theria
Torre's Cave Rat,Boromys_torrei,Boromys,Echimyidae,Rodentia,Theria
Haitian Edible Rat,Brotomys_contractus,Brotomys,Echimyidae,Rodentia,Theria
Hispaniolan Edible Rat,Brotomys_voratus,Brotomys,Echimyidae,Rodentia,Theria
Antillean Cave Rat,Heteropsomys_antillensis,Heteropsomys,Echimyidae,Rodentia,Theria
Insular Cave Rat,Heteropsomys_insulans,Heteropsomys,Echimyidae,Rodentia,Theria
Chilean Rock Rat,Aconaemys_fuscus,Aconaemys,Octodontidae,Rodentia,Theria
Porter's Rock Rat,Aconaemys_porteri,Aconaemys,Octodontidae,Rodentia,Theria
Sage's Rock Rat,Aconaemys_sagei,Aconaemys,Octodontidae,Rodentia,Theria
Bridges's Degu,Octodon_bridgesii,Octodon,Octodontidae,Rodentia,Theria
Common Degu,Octodon_degus,Octodon,Octodontidae,Rodentia,Theria
Coastal Degu,Octodon_lunatus,Octodon,Octodontidae,Rodentia,Theria
Pacific Degu,Octodon_pacificus,Octodon,Octodontidae,Rodentia,Theria
Ricardo Ojeda's Degu,Octodon_ricardojeda,Octodon,Octodontidae,Rodentia,Theria
Mountain Degu,Octodontomys_gliroides,Octodontomys,Octodontidae,Rodentia,Theria
Common Viscacha Rat,Octomys_mimax,Octomys,Octodontidae,Rodentia,Theria
Rosi's Viscacha Rat,Octomys_rosiae,Octomys,Octodontidae,Rodentia,Theria
Golden Viscacha Rat,Pipanacoctomys_aureus,Pipanacoctomys,Octodontidae,Rodentia,Theria
Coruro,Spalacopus_cyanus,Spalacopus,Octodontidae,Rodentia,Theria
Red Viscacha Rat,Tympanoctomys_barrerae,Tympanoctomys,Octodontidae,Rodentia,Theria
Kirchners' Viscacha Rat,Tympanoctomys_kirchnerorum,Tympanoctomys,Octodontidae,Rodentia,Theria
Chalchalero Viscacha Rat,Tympanoctomys_loschalchalerosorum,Tympanoctomys,Octodontidae,Rodentia,Theria
Mountain Beaver,Aplodontia_rufa,Aplodontia,Aplodontiidae,Rodentia,Theria
Japanese Dormouse,Glirulus_japonicus,Glirulus,Gliridae,Rodentia,Theria
European Fat Dormouse,Glis_glis,Glis,Gliridae,Rodentia,Theria
Iranian Fat Dormouse,Glis_persicus,Glis,Gliridae,Rodentia,Theria
Angolan African Dormouse,Graphiurus_angolensis,Graphiurus,Gliridae,Rodentia,Theria
Christy's African Dormouse,Graphiurus_christyi,Graphiurus,Gliridae,Rodentia,Theria
Thick-tailed African Dormouse,Graphiurus_crassicaudatus,Graphiurus,Gliridae,Rodentia,Theria
Johnston's African Dormouse,Graphiurus_johnstoni,Graphiurus,Gliridae,Rodentia,Theria
Kellen's African Dormouse,Graphiurus_kelleni,Graphiurus,Gliridae,Rodentia,Theria
Lorraine's African Dormouse,Graphiurus_lorraineus,Graphiurus,Gliridae,Rodentia,Theria
Noack's African Dormouse,Graphiurus_microtis,Graphiurus,Gliridae,Rodentia,Theria
Monard's African Dormouse,Graphiurus_monardi,Graphiurus,Gliridae,Rodentia,Theria
Forest African Dormouse,Graphiurus_murinus,Graphiurus,Gliridae,Rodentia,Theria
Nagtglas's African Dormouse,Graphiurus_nagtglasii,Graphiurus,Gliridae,Rodentia,Theria
Spectacled African Dormouse,Graphiurus_ocularis,Graphiurus,Gliridae,Rodentia,Theria
Flat-headed African Dormouse,Graphiurus_platyops,Graphiurus,Gliridae,Rodentia,Theria
Rupicolous African Dormouse,Graphiurus_rupicola,Graphiurus,Gliridae,Rodentia,Theria
Short-eared African Dormouse,Graphiurus_surdus,Graphiurus,Gliridae,Rodentia,Theria
Walter Verheyen's African Dormouse,Graphiurus_walterverheyeni,Graphiurus,Gliridae,Rodentia,Theria
Sichuan Dormouse,Chaetocauda_sichuanensis,Chaetocauda,Gliridae,Rodentia,Theria
Woolly Forest Dormouse,Dryomys_laniger,Dryomys,Gliridae,Rodentia,Theria
Niethammer's Forest Dormouse,Dryomys_niethammeri,Dryomys,Gliridae,Rodentia,Theria
Eurasian Forest Dormouse,Dryomys_nitedula,Dryomys,Gliridae,Rodentia,Theria
Black-tailed Garden Dormouse,Eliomys_melanurus,Eliomys,Gliridae,Rodentia,Theria
Maghreb Garden Dormouse,Eliomys_munbyanus,Eliomys,Gliridae,Rodentia,Theria
European Garden Dormouse,Eliomys_quercinus,Eliomys,Gliridae,Rodentia,Theria
Hazel Dormouse,Muscardinus_avellanarius,Muscardinus,Gliridae,Rodentia,Theria
Ognev's Mouse-tailed Dormouse,Myomimus_personatus,Myomimus,Gliridae,Rodentia,Theria
Roach's Mouse-tailed Dormouse,Myomimus_roachi,Myomimus,Gliridae,Rodentia,Theria
Setzer's Mouse-tailed Dormouse,Myomimus_setzeri,Myomimus,Gliridae,Rodentia,Theria
Desert Dormouse,Selevinia_betpakdalaensis,Selevinia,Gliridae,Rodentia,Theria
Ear-spot Squirrel,Callosciurus_adamsi,Callosciurus,Sciuridae,Rodentia,Theria
Kinabalu Squirrel,Callosciurus_baluensis,Callosciurus,Sciuridae,Rodentia,Theria
Northern Gray-bellied Squirrel,Callosciurus_caniceps,Callosciurus,Sciuridae,Rodentia,Theria
Southern Gray-bellied Squirrel,Callosciurus_concolor,Callosciurus,Sciuridae,Rodentia,Theria
Pallas's Squirrel,Callosciurus_erythraeus,Callosciurus,Sciuridae,Rodentia,Theria
Finlayson's Squirrel,Callosciurus_finlaysonii,Callosciurus,Sciuridae,Rodentia,Theria
Hon Khoai Squirrel,Callosciurus_honkhoaiensis,Callosciurus,Sciuridae,Rodentia,Theria
Inornate Squirrel,Callosciurus_inornatus,Callosciurus,Sciuridae,Rodentia,Theria
Mentawai Squirrel,Callosciurus_melanogaster,Callosciurus,Sciuridae,Rodentia,Theria
Black-striped Squirrel,Callosciurus_nigrovittatus,Callosciurus,Sciuridae,Rodentia,Theria
Plantain Squirrel,Callosciurus_notatus,Callosciurus,Sciuridae,Rodentia,Theria
Borneo Black-banded Squirrel,Callosciurus_orestes,Callosciurus,Sciuridae,Rodentia,Theria
Phayre's Squirrel,Callosciurus_phayrei,Callosciurus,Sciuridae,Rodentia,Theria
Prevost's Squirrel,Callosciurus_prevostii,Callosciurus,Sciuridae,Rodentia,Theria
Irrawaddy Squirrel,Callosciurus_pygerythrus,Callosciurus,Sciuridae,Rodentia,Theria
Anderson's Squirrel,Callosciurus_quinquestriatus,Callosciurus,Sciuridae,Rodentia,Theria
Red-throated Squirrel,Dremomys_gularis,Dremomys,Sciuridae,Rodentia,Theria
Orange-bellied Himalayan Squirrel,Dremomys_lokriah,Dremomys,Sciuridae,Rodentia,Theria
Chinese Red-cheeked Squirrel,Dremomys_ornatus,Dremomys,Sciuridae,Rodentia,Theria
Perny's Long-nosed Squirrel,Dremomys_pernyi,Dremomys,Sciuridae,Rodentia,Theria
Red-hipped Squirrel,Dremomys_pyrrhomerus,Dremomys,Sciuridae,Rodentia,Theria
Asian Red-cheeked Squirrel,Dremomys_rufigenis,Dremomys,Sciuridae,Rodentia,Theria
Philippine Pygmy Squirrel,Exilisciurus_concinnus,Exilisciurus,Sciuridae,Rodentia,Theria
Least Pygmy Squirrel,Exilisciurus_exilis,Exilisciurus,Sciuridae,Rodentia,Theria
Tufted Pygmy Squirrel,Exilisciurus_whiteheadi,Exilisciurus,Sciuridae,Rodentia,Theria
Sculptor Squirrel,Glyphotes_simus,Glyphotes,Sciuridae,Rodentia,Theria
Montane Long-nosed Squirrel,Hyosciurus_heinrichi,Hyosciurus,Sciuridae,Rodentia,Theria
Lowland Long-nosed Squirrel,Hyosciurus_ileile,Hyosciurus,Sciuridae,Rodentia,Theria
Four-striped Ground Squirrel,Lariscus_hosei,Lariscus,Sciuridae,Rodentia,Theria
